Time,Action,BE_Val0,BE_Val1,BE_Val2,LE_Val0,LE_Val1,LE_Val2
17.38,YAW (右回),-627158400,-857753827,83771684,-2142069030,498589644,608304644
17.44,YAW (右回),-623611663,-859209187,66729408,-244263718,495110604,-1070204413
17.49,YAW (右回),-621421986,-858904570,48295371,1591408090,103337676,-873603070
17.54,YAW (右回),-619923865,-857173214,29379646,1739984091,580118732,1045217281
17.59,YAW (右回),-620295678,-854763094,15622771,34211803,-1437004339,1935863296
17.64,YAW (右回),-618274525,-854781613,8502823,601957851,1393626573,666796288
17.69,YAW (右回),-615185169,-856885634,7359323,-284928549,2130111692,1531670528
17.74,YAW (右回),-611631259,-859434717,5891072,1698663387,588367564,14964992
17.79,YAW (右回),-608423452,-860036112,-2503794,-466502437,-253510452,-1899243009
17.84,YAW (右回),-605188417,-858916479,-18447333,-1081152037,-2114335284,461694718
17.89,YAW (右回),-607890182,-853183728,-34128896,-95107877,275981773,3995645
17.94,YAW (右回),-607853574,-849042089,-47296017,-85736229,1470457037,-279892227
17.99,YAW (右回),-603778534,-847751982,-54929784,437388252,-766215987,-1999193604
18.04,YAW (右回),-603581161,-842199733,-69319159,387253980,1259195853,155639547
18.09,YAW (右回),-611809454,-827291140,-95490403,1384614107,-58085170,-1645326598
18.14,YAW (右回),-618661541,-814267762,-117959544,1543053275,-1908246577,-2011891464
18.19,YAW (右回),-624259538,-801908945,-139852929,781109978,802632656,2130946807
18.24,YAW (右回),-624957127,-792877525,-158652535,971620314,732347856,-1993896970
18.29,YAW (右回),-620147014,-787482188,-176864457,-1169290789,-1258745903,927167989
18.35,YAW (右回),-616308821,-780163331,-195379816,-1411431461,-39419951,-1732420876
18.40,YAW (右回),-604595952,-775743474,-215605401,278525659,236504017,1730094835
18.45,YAW (右回),-604748353,-765531818,-231348252,-1085934373,1458134738,-454609422
18.50,YAW (右回),-607953349,-758967138,-239220176,996066267,-1642806318,818593265
18.55,YAW (右回),-603679961,-768355581,-233585873,663946460,64173010,801313778
18.60,YAW (右回),-603298539,-781367509,-214689077,358943452,726101457,-887474957
18.65,YAW (右回),-608406167,-792105128,-190172119,1769323739,1483721168,691317492
18.70,YAW (右回),-607832115,-809778980,-165517509,-851982885,-591348785,996614902
18.75,YAW (右回),-608571925,-824395538,-143439252,-336741925,-289874738,1816818679
18.80,YAW (右回),-605360373,-840834490,-120958323,200272603,1189274061,-1923953928
18.85,YAW (右回),-598809267,-857990025,-94190375,1306873564,1998380236,-641441030
18.90,YAW (右回),-592293210,-871213891,-68716309,-1504529700,-1118563636,-344397829
18.95,YAW (右回),-589860590,-878907856,-42517636,309450716,820944075,2084272125
19.00,YAW (右回),-586713717,-883395770,-20709721,-1955264547,1181964491,-1476475906
19.05,YAW (右回),-586771225,-883291137,7370838,-409729315,-16033077,1450733568
19.10,YAW (右回),-591224956,-880274252,45690374,-2069904676,-1273722677,103725314
19.15,YAW (右回),-594366483,-878183712,82896774,-307260708,-520443957,-2031620092
19.20,YAW (右回),-594571575,-876946222,118896182,-913403940,-757286197,909514247
19.25,YAW (右回),-609225757,-865286239,155022091,-470568997,-1580766004,192101641
19.31,YAW (右回),-620571574,-854282581,185348988,1255408347,-1414654771,2083720203
19.36,YAW (右回),-611739119,-856249228,211196302,295340507,1957492428,-1902537204
19.41,YAW (右回),-596161825,-860391623,239244571,-548767780,964147148,462766606
19.46,YAW (右回),-584715396,-858655155,269634308,2096309725,1308021196,72028688
19.51,YAW (右回),-571876502,-855716824,299510952,1792797149,684523212,-1473455599
19.56,YAW (右回),-552487181,-854600084,329989192,-206171681,1825968077,1211935507
19.61,YAW (右回),-538625096,-849904873,356310515,-1204034081,393959373,-203604971
19.66,YAW (右回),-520748055,-845437251,383822613,-385616160,-1113154611,363585558
19.71,YAW (右回),-501032556,-841668107,409546262,-1797709086,-181807667,372140312
19.76,YAW (右回),-491325250,-831192190,432346637,-1090996510,-2113702450,219596057
19.81,YAW (右回),-480353782,-823630694,451027462,174218979,-1704662834,102949402
19.86,YAW (右回),-466702158,-816589466,473414852,-1297076508,1725256655,-994298084
19.91,YAW (右回),-455958351,-808323999,494651245,-1314860316,1643434447,1841789725
19.96,YAW (右回),-439585296,-799328998,518468930,-260715291,439704528,1110828830
